DATE,TICKER,DAY_OF_MONTH,DAY_OF_WEEK,WEEK_OF_MONTH,MONTH,QUARTER,YEAR,CLOSE_LAG_1,CLOSE_LAG_2,CLOSE_MA_3,XGB,MODEL_TYPE,ET,ADA,FORECAST,RUN_DATE
2024-07-09,PETR4.SA,9,1,2,7,3,2024,36.3004264831543,36.565589904785156,36.464786529541016,36.03,XGBRegressor,,,36.03,2024-07-05
2024-07-10,PETR4.SA,10,2,2,7,3,2024,36.033729553222656,36.3004264831543,36.2999153137207,35.79,XGBRegressor,,,35.79,2024-07-05
2024-07-03,PETR4.SA,3,2,1,7,3,2024,38.51,38.63,38.39666666666667,,ExtraTreesRegressor,37.1,,37.1,2024-07-05
2024-07-04,PETR4.SA,4,3,1,7,3,2024,37.104441558191034,38.51,38.08148051939701,,ExtraTreesRegressor,36.71,,36.71,2024-07-05
2024-07-05,PETR4.SA,5,4,1,7,3,2024,36.70910417172104,37.104441558191034,37.44118190997069,,ExtraTreesRegressor,36.59,,36.59,2024-07-05
2024-07-08,PETR4.SA,8,0,2,7,3,2024,36.586401039405814,36.70910417172104,36.7999822564393,,ExtraTreesRegressor,36.48,,36.48,2024-07-05
2024-07-09,PETR4.SA,9,1,2,7,3,2024,36.47822095346264,36.586401039405814,36.591242054863166,,ExtraTreesRegressor,36.43,,36.43,2024-07-05
2024-07-10,PETR4.SA,10,2,2,7,3,2024,36.4286401664256,36.47822095346264,36.49775405309802,,ExtraTreesRegressor,36.34,,36.34,2024-07-05
2024-07-03,PETR4.SA,3,2,1,7,3,2024,38.51,38.63,38.39666666666667,,AdaBoostRegressor,,38.3,38.3,2024-07-05
2024-07-04,PETR4.SA,4,3,1,7,3,2024,38.29720588235294,38.51,38.47906862745098,,AdaBoostRegressor,,38.3,38.3,2024-07-05
2024-07-05,PETR4.SA,5,4,1,7,3,2024,38.29720588235294,38.29720588235294,38.36813725490196,,AdaBoostRegressor,,38.3,38.3,2024-07-05
2024-07-08,PETR4.SA,8,0,2,7,3,2024,38.29720588235294,38.29720588235294,38.29720588235294,,AdaBoostRegressor,,38.31,38.31,2024-07-05
2024-07-09,PETR4.SA,9,1,2,7,3,2024,38.311233333333334,38.29720588235294,38.3018816993464,,AdaBoostRegressor,,38.31,38.31,2024-07-05
2024-07-10,PETR4.SA,10,2,2,7,3,2024,38.311233333333334,38.311233333333334,38.30655751633987,,AdaBoostRegressor,,38.3,38.3,2024-07-05
2024-07-03,BRSR6.SA,3,2,1,7,3,2024,11.36,11.35,11.353333333333332,11.31,XGBRegressor,,,11.31,2024-07-05
2024-07-04,BRSR6.SA,4,3,1,7,3,2024,11.306591033935547,11.36,11.338863677978516,11.2,XGBRegressor,,,11.2,2024-07-05
2024-07-05,BRSR6.SA,5,4,1,7,3,2024,11.197260856628418,11.306591033935547,11.287950630187987,11.2,XGBRegressor,,,11.2,2024-07-05
2024-07-08,BRSR6.SA,8,0,2,7,3,2024,11.197260856628418,11.197260856628418,11.233704566955566,11.2,XGBRegressor,,,11.2,2024-07-05
2024-07-09,BRSR6.SA,9,1,2,7,3,2024,11.197260856628418,11.197260856628418,11.197260856628418,11.2,XGBRegressor,,,11.2,2024-07-05
